Contig	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12
NODE_334_length_34344_cov_20.722914	STRG.8388	218.898331	1171.579102	227.194824	149.045502	46.988377	0	396.124939	425.896637	228.676544	0	245.193314	74.866577	203.241653	396.209595	189.04921	244.210556	0	306.737793	166.427155	352.662018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_335_length_34342_cov_13.685741	STRG.8419	615.381958	0	449.385101	0	51.20932	0	1333.596802	1642.124878	553.962891	0	0	0	802.386658	0	0	0	949.912231	0	215.66217	304.035858	0	0	0	0	0	0	308.24054	499.233765	0	0	318.66214	0	0	608.165466	0	388.272217	262.017426	0	0	383.656311	205.859314	314.237885	0	0	856.355469
NODE_33632_length_3839_cov_19.025106	STRG.140251	0	0	407.418823	198.946045	0	0	42.326546	76.242767	103.641418	0	0	0	42.663067	227.028107	0	0	231.688385	0	0	0	0	0	0	0	0	74.210945	0	177.609711	0	0	0	0	0	0	0	0	0	0	0	0	57.521534	0	0	0	0
NODE_33632_length_3839_cov_19.025106	STRG.140252	246.161209	0	0	0	104.077232	0	171.13945	0	0	0	0	0	110.168144	0	0	0	0	0	268.389069	0	78.050957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_33640_length_3838_cov_22.399418	STRG.140275	71.774139	137.477386	522.001526	0	0	0	0	205.648468	0	655.150024	93.595306	287.325653	352.730713	0	0	0	0	0	134.804657	59.347832	0	0	223.76416	0	0	94.996071	0	0	0	0	0	284.590363	0	0	0	0	0	0	0	0	223.201797	0	0	0	0
NODE_33752_length_3831_cov_17.885064	STRG.140475	360.18927	2150.648682	1760.801758	325.6073	1238.398071	403.795959	424.122284	3395.63623	462.037811	5399.984863	1447.17627	1591.342041	645.668457	3006.621338	1336.072266	2844.71167	2940.360352	3172.391602	3953.923584	1270.589722	982.998535	380.052155	222.176315	0	0	201.934555	0	0	0	0	200.185165	0	550.017029	0	224.893417	78.135376	166.837982	139.946869	273.405975	0	0	0	2761.076172	0	0
NODE_33791_length_3828_cov_137.413199	STRG.140560	0	0	0	0	0	0	0	0	0	0	98.04229	0	134.724319	0	0	0	0	0	350.737579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_33870_length_3822_cov_12.392089	STRG.140709	0	0	0	0	0	0	267.072418	0	192.721725	0	0	0	0	0	0	0	0	0	0	0	513.212036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_33959_length_3814_cov_8.209364	STRG.140878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263.851898	0	0	0	0	0	0	0	0	0	0	0	0	250.954788	0	341.088318	0	0	0	195.48526	0	0	0	0	0	0
NODE_34077_length_3805_cov_51.743200	STRG.141064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815.259155	0	2358.666504	0	0	0	0	126.209091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_34156_length_3800_cov_4.524700	STRG.141210	0	0	464.016235	0	0	0	620.861328	483.93457	0	0	0	0	0	0	170.912674	506.499847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_34348_length_3786_cov_13.791477	STRG.141554	347.382935	0	270.868683	106.750778	66.408325	0	0	0	0	0	24.98856	0	0	0	0	0	549.146301	616.643127	0	262.151398	0	194.664597	0	747.227173	0	0	0	0	0	0	385.224762	0	0	0	0	233.891968	339.504517	253.583603	0	0	0	709.521362	0	0	0
NODE_34488_length_3774_cov_20.291476	STRG.141823	0	0	307.253998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272.946289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463.548035	0
NODE_34608_length_3765_cov_7.377628	STRG.142014	0	0	0	0	0	0	205.184052	182.275269	0	982.799438	0	263.129822	0	0	0	0	0	0	0	0	0	0	2028.131714	0	305.501129	488.894135	0	467.394135	325.372192	0	0	0	0	0	0	463.328857	0	236.948471	631.871521	0	371.191589	289.334167	716.0896	0	0
NODE_3467_length_13844_cov_5.153021	STRG.41456	0	0	307.253998	403.132751	0	0	729.31073	213.323914	138.872269	180.901367	0	0	0	0	0	205.066864	0	0	0	111.113556	0	87.379929	0	316.714172	0	0	0	0	0	0	0	0	0	0	0	0	0	127.258728	0	0	0	0	0	0	0
NODE_3469_length_13842_cov_24.172917	STRG.41485	687.899414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118.940948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_34701_length_3757_cov_16.122907	STRG.142185	0	0	0	376.257416	0	0	0	74.304398	330.889862	0	472.145691	0	89.628296	303.76062	0	425.57608	0	183.783783	856.790649	0	108.344711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473.002533
NODE_34758_length_3753_cov_6.051920	STRG.142295	1005.464417	0	0	179.083878	48.693676	0	0	73.558899	0	691.224976	279.391724	249.752213	53.776978	1365.399292	199.440063	198.757187	450.055084	235.384644	168.487946	739.365234	367.143951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_34845_length_3746_cov_5.892712	STRG.142453	0	374.099396	279.820679	0	0	0	343.107605	221.528671	0	0	0	0	0	0	0	0	0	0	0	0	247.441483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_34914_length_3741_cov_4.976126	STRG.142589	0	0	0	214.532623	0	237.474533	0	223.687759	0	0	0	0	0	382.307587	66.418068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324.7435	0	0	0	0	0	0	0	0
NODE_34931_length_3739_cov_148.306732	STRG.142623	0	0	0	0	0	0	0	0	0	0	0	219.274872	0	0	0	0	0	0	488.428314	0	872.46051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3501_length_13777_cov_42.416776	STRG.41734	422.860504	0	1031.007812	454.644257	0	0	1287.123047	91.893341	538.396973	0	232.116287	0	0	0	0	336.201813	459.389709	422.702881	0	140.601288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435.325562	0	0	0	437.067108	0	0	0	0	505.784973
