Contig	Gene	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12	g1a1	g1a2	g1a3	g1b1	g1b2	g1b3	g9b1	g9b2	g9b3	g13a1	g13a2	g13a3	g13b1	g13b2	g13b3	g17a1	g17a2	g17a3	g17b1	g17b2	g17b3	g2017-9am1	g2017-9am2	g2017-9am3	g2017-9am4	g2017-9am5	g2017-9am6	g2017-9am7	g2017-9am8	g2017-9am9	g2017-9am10	g2017-9am11	g2017-9am12	g2017-9pm1	g2017-9pm2	g2017-9pm3	g2017-9pm4	g2017-9pm5	g2017-9pm6	g2017-9pm7	g2017-9pm8	g2017-9pm9	g2017-9pm10	g2017-9pm11	g2017-9pm12
NODE_24599_length_4721_cov_111.388556	Ga0224629_1024599.3	STRG.111905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.565178	0	0	0	1194.295654	0	1173.079224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597836	0.301772	0.940617	0	0.698006	0.259887	1.148653	0	0.286899	1.380645	1.006101	1.036375	1.577831	1.783624	2.567498	0.908297	1.123622	0.328674	10.607347	1.16119	14.452387	1.917651	1.85954	2.416506	1.550886	0	1.077614	8.445409	1.975898	15.912717	1.33342	4.910105	1.154799	0.379238	6.331531	4.235488	0	1.375863	0	7.257173	1.550191	0.461143	10.505587	1.422991	3.378384
NODE_24678_length_4710_cov_60.439313	Ga0224629_1024678.5	STRG.112058	2.386423	0	0	0	0	0	19.315063	22.044775	77.851677	0	0	0	0	138.100098	0	0	0	0	339.743744	0	170.54567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.951523	1.941098	0.359052	0.410292	1.197029	0.216038	0	1.028788	0.730944	0.454296	0.37508	0	0	0.313929	0	0	0	0	0	2.694982	0	2.129099	0.355053	0.958144	3.292549	1.890722	0.838977	1.249744	0	0.51393	2.503101	9.306491	0.103019	6.939404	0.670686	9.659638	1.108692	0	3.792743	1.243479	1.3735	0	5.460222	7.152139	2.194781	0
NODE_24753_length_4699_cov_106.895564	Ga0224629_1024753.1	STRG.112240	0	0	0	0	0	0	34.172363	0	11.262156	0	0	0	0	0	45.022137	0	0	0	420.490875	0	40.665104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337946	0	0	0	0	0.619803	0	0	0	2.179667	0.496419	0	0	0	5.934565	0.800772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_25045_length_4664_cov_8.808201	Ga0224629_1025045.7	STRG.112869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409.672546	0	666.983398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288449	0.640764	0.035824	0	0	0	1.571447	0	3.165343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_25228_length_4640_cov_24.142203	Ga0224629_1025228.4	STRG.113263	0	172.433228	149.532272	74.356102	0	24.337004	0	0	0	0	59.149574	263.184357	0	496.437714	39.930424	0	339.630035	0	74.249435	0	178.751144	0	0	0	0	0	36.678463	0	0	0	0	0	0	0	0	164.12944	107.637016	0	208.14801	82.028908	0	0	0	0	0	2.514243	4.456223	6.460022	6.756015	1.349227	7.52151	2.695627	4.572727	3.469966	7.663144	6.375363	8.733611	5.563913	4.031777	2.522453	6.157432	16.229176	12.348539	5.924763	4.740155	5.23309	2.725597	11.540296	0.556057	0.776706	0	3.904989	22.733509	0	0.650939	6.770194	1.129952	0.952359	3.966297	0.021307	0.722871	1.62192	6.994957	0	1.464745	4.252302	0.892914	2.854425	4.314506	1.02332
NODE_25331_length_4629_cov_5.730433	Ga0224629_1025331.3	STRG.113488	0	0	0	0	0	0	0	0	0	0	15.061468	0	0	81.476486	0	24.606607	0	0	317.63147	0	680.153442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295368	0.802158	0	0.036122	0	0.189281	2.374641	0.586208	0.506929	0	0.059623	4.14759	0.054405	10.005767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_25409_length_4619_cov_72.446100	Ga0224629_1025409.5	STRG.113670	0	0	0	0	0	0	0	11.169272	0	0	0	0	32.392784	144.133041	0	0	0	0	249.68338	8.146771	72.592522	0	0	0	0	0	0	0	0	0	0	0	0	29.78632	0	0	0	35.929001	0	0	0	0	0	0	0	28.126726	10.648168	5.648443	29.750942	1.926299	3.138108	14.934303	24.038191	23.403851	3.551138	2.078988	0.687487	6.973756	8.924884	2.134434	1.594124	3.760638	9.712234	5.509742	8.910913	5.365599	0.336416	0.375536	0	0	21.675053	0.929758	3.307666	0.195329	2.083418	0.732431	4.525945	2.685326	17.78969	3.341102	0.339748	0.247176	0.205344	3.888003	1.324445	2.1622	1.124513	4.930983	2.282163	1.256999
NODE_25736_length_4583_cov_23.761042	Ga0224629_1025736.3	STRG.114340	7.227169	0	0	26.359272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681.694031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.043511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_25865_length_4568_cov_65.485708	Ga0224629_1025865.1	STRG.114614	34.522552	0	0	0	0	0	19.669834	0	118.423965	0	0	0	5.944264	893.601562	25.054073	0	0	0	1083.396729	0	401.832794	0	0	0	0	89.172188	0	0	0	0	0	0	0	51.241154	0	0	0	0	0	0	0	0	0	0	0	1.176597	0	0	0	0.635079	0	2.317711	0.912902	1.33096	1.289856	0	0	0	1.02143	0	0	0	0	0.917206	0	3.927812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_25927_length_4561_cov_114.057923	Ga0224629_1025927.9	STRG.114731	34.462524	0	0	26.114809	24.775379	0	28.374681	28.507721	270.860046	0	68.751701	0	58.751545	768.046814	46.34586	73.436531	0	0	1930.050781	27.070795	1818.103027	0	327.347412	0	0	0	0	0	0	207.312653	0	0	0	0	0	0	0	0	0	0	41.838768	0	0	0	0	2.129307	4.0424	5.310387	4.439933	1.075734	0.976505	3.483407	3.542271	4.782908	1.839142	5.607738	0.638791	3.35139	6.234443	1.198389	2.026903	0	3.721053	16.064388	1.27977	14.471514	0.707519	15.379295	6.631855	0	0	9.511675	1.608713	0	4.282101	3.627113	0	0	1.319318	2.386497	0	1.455321	0.659745	15.836524	1.077312	0.873727	8.044062	13.083279	3.527326	3.773357
NODE_25933_length_4561_cov_8.023080	Ga0224629_1025933.9	STRG.114751	44.81448	0	0	0	0	0	0	0	2306.00415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.649979	0.602992	0	0	0	0	0	0	0.612883	5.871748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_26073_length_4544_cov_95.570060	Ga0224629_1026073.1	STRG.115029	0	0	0	0	0	0	19.561504	0	0	0	0	0	26.409395	0	0	0	0	0	941.910034	0	601.108459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044734	0.344626	0	0.022084	0	0	0.575147	0.355651	0	0.59236	0	0.1699	0.806335	0.379331	0	0	0.767182	2.449615	0.204452	4.944953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_26116_length_4539_cov_138.852810	Ga0224629_1026116.5	STRG.115114	0	0	0	0	0	0	0	0	38.268871	0	6.123139	0	0	174.057953	0	0	0	0	845.16449	0	105.994003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.391463	0.356265	0	0	0	22.757057	0	4.902823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_26230_length_4528_cov_6.539459	Ga0224629_1026230.11	STRG.115368	0	0	136.892685	137.29805	0	0	139.521164	0	0	0	55.820667	0	2.059967	48.468628	0	0	0	0	31.212252	0	0	0	0	304.599182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.8165	1.259283	24.876312	12.531307	0	0	24.727226	10.699214	6.681256	0	2.551794	0	1.62404	3.002378	5.934181	6.082376	7.229421	7.502409	1.697812	1.79275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_26472_length_4500_cov_76.320135	Ga0224629_1026472.4	STRG.115886	5.879517	0	0	0	0	10.801268	30.500277	0	27.440098	0	0	0	0	379.735504	0	0	0	0	218.03154	0	452.880127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.434755	0.355932	0	0	0	2.031317	0.397185	1.208398	1.359273	0	0.778953	0	0	1.626431	2.416983	0	0	0	12.30118	0	29.069078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_26498_length_4497_cov_55.764520	Ga0224629_1026498.7	STRG.115945	0	0	0	0	0	69.023354	20.57943	23.095053	0	0	0	0	0	211.711258	0	0	0	0	340.112762	0	578.647705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.392484	0	0.441391	0.949519	0.400688	0.68518	0.461195	0.879427	0.789506	0	0.053109	0	0.168436	4.309156	0.967603	0.062984	0	0	4.469786	0	11.530845	4.820519	49.689037	2.749491	0.572875	0.814902	2.020741	0	2.958945	2.434993	2.364746	0	0.354448	0.483751	1.4598	3.824775	1.731218	1.269435	4.229525	42.447414	2.568058	2.903208	4.607664	0	1.197889
NODE_26673_length_4477_cov_129.801221	Ga0224629_1026673.10	STRG.116322	0	0	0	0	0	0	0	7.069911	48.108509	0	70.11657	0	5.14357	270.668427	0	0	0	0	374.633606	0	377.440277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.875511	0	0	0	0	0.368712	0	0	0	0	0	0	0	0.086962	0.795242	0	0	0	0	0	0.130301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
