Contig	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12
NODE_23400_length_4876_cov_23.674341	STRG.118188	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	0	124.8304557	#DIV/0!	0	#DIV/0!	#DIV/0!	121.0527973	230.9163734	0	#DIV/0!	#DIV/0!	144.5905123	0	28.14603949	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	0	#DIV/0!
NODE_2349_length_16482_cov_21.431180	STRG.32437	0	0	0	0	0	0	0	139.0780291	0	0	0	0	0	0	554.6306856	0	0	0	119.3757157	0	51.29461276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.7170562	0	0	0	0	0	0	0	0
NODE_2363_length_16426_cov_137.686030	STRG.32576	3040.877513	3857.353066	4155.262117	0	2055.892775	11520.209	3242.006924	2712.974824	2645.037195	5323.873348	1295.51814	2723.703159	1255.235298	1750.417186	2274.630029	2793.05545	7499.135658	2168.937983	518.4149227	2612.022148	148.4492833	1349.475699	2449.124363	6234.762701	3175.71995	3988.427352	2966.625583	3374.383848	3236.797904	2741.554268	1917.607176	2343.886837	1080.686826	#DIV/0!	3439.231052	1375.353354	3392.528847	2486.799783	1148.660799	4026.104617	1711.728337	3363.06758	2461.46198	1054.475839	3245.857835
NODE_2369_length_16413_cov_7.269409	STRG.32603	5390.002406	#DIV/0!	8230.314781	#DIV/0!	0	#DIV/0!	#DIV/0!	8428.161011	0	#DIV/0!	1555.463796	#DIV/0!	#DIV/0!	#DIV/0!	2993.136402	0	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!
NODE_23694_length_4837_cov_6.149728	STRG.118895	392.6349832	0	0	0	0	0	194.1742684	711.9154478	0	0	0	#DIV/0!	0	26.67306871	#DIV/0!	489.2577055	#DIV/0!	0	0	0	0	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	0	0	#DIV/0!	221.8842153	#DIV/0!	0	#DIV/0!
NODE_2370_length_16407_cov_49.077727	STRG.32610	3423.660484	9908.401429	#DIV/0!	#DIV/0!	1975.508388	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	4189.083965	#DIV/0!	768.5232231	0	0	#DIV/0!	#DIV/0!	0	126.1985397	2463.375001	0	0	0	1992.100755	#DIV/0!	#DIV/0!	6056.761925	#DIV/0!	0	0	#DIV/0!	#DIV/0!	0	0	0	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_23728_length_4834_cov_17.316593	STRG.118991	574.9489592	910.6127286	685.1964383	1941.811967	854.0412621	3435.548729	464.6847483	1199.446366	0	#DIV/0!	437.3411636	727.6420594	269.2591577	0	260.3204472	0	0	#DIV/0!	114.7967838	627.9984445	18.46733984	0	0	0	380.3100884	#DIV/0!	0	0	#DIV/0!	0	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	374.5666152	0	0	0	0	#DIV/0!	0	0	2089.747453
NODE_23917_length_4808_cov_17.391542	STRG.119445	254.1128632	638.5372429	#DIV/0!	362.7444296	189.7421729	#DIV/0!	76.52646817	0	145.886017	#DIV/0!	149.8116494	#DIV/0!	265.8377548	1016.784419	0	416.7645699	#DIV/0!	99.71716256	156.2784588	0	0	156.1052128	0	0	295.5410036	0	0	#DIV/0!	0	0	#DIV/0!	0	200.5893397	0	0	2187.468437	0	0	0	0	0	0	#DIV/0!	614.3850398	0
NODE_23982_length_4799_cov_56.000843	STRG.119625	591.0409077	1131.21048	1229.848648	2037.064766	363.4764379	3086.286419	658.45461	1236.099713	907.6516807	1916.413637	564.2746654	#DIV/0!	790.7158283	275.1359922	920.0381937	1779.30821	3688.996923	996.0777803	160.1031345	891.784512	39.33576043	222.6131591	644.9460613	564.8448605	552.3071467	1011.506605	579.6977408	793.2270428	227.9840585	1020.26748	521.341657	529.7934008	517.4277322	1673.060428	861.4556031	436.0626105	988.9626593	528.6354942	439.8031645	811.3207671	627.3789053	991.2145565	1453.431237	337.6220496	1447.400067
NODE_24_length_82296_cov_31.970282	STRG.1136	0	0	0	0	187.0185619	0	0	0	0	0	0	0	0	0	0	0	0	0	122.4721513	0	45.91740334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
